stand,kanton,jahr,stufe,schultyp,geschlecht,staatsangehoerigkeit,traegerschaft,finanzierung,anzahl
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,männlich,Schweiz,öffentlich,öffentlich,13135
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,männlich,Ausland,öffentlich,öffentlich,4476
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,männlich,Schweiz,privat,öffentlich,5
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,männlich,Ausland,privat,öffentlich,9
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,männlich,Schweiz,privat,privat,1510
2023-09-01,zh,2022,Sekundarstufe I,Volksschule,männlich,Ausland,privat,privat,661
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,3657
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,656
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Schweiz,privat,privat,195
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,weiblich,Ausland,privat,privat,54
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,3206
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,männlich,Ausland,öffentlich,öffentlich,549
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,männlich,Schweiz,privat,privat,196
2023-09-01,zh,2022,Sekundarstufe I,Mittelschule,männlich,Ausland,privat,privat,75
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,62
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,41
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,150
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,62
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,109
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,61
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,314
2023-09-01,zh,2022,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,180
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,5231
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,863
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Schweiz,privat,privat,960
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,weiblich,Ausland,privat,privat,574
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,4040
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,männlich,Ausland,öffentlich,öffentlich,747
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,männlich,Schweiz,privat,privat,849
2023-09-01,zh,2022,Sekundarstufe II,Mittelschule,männlich,Ausland,privat,privat,570
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,36
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,26
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,31
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,14
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,72
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,30
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,37
2023-09-01,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,29
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,öffentlich,öffentlich,480
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Ausland,öffentlich,öffentlich,382
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,öffentlich,8
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,öffentlich,5
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,privat,84
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,privat,16
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Schweiz,öffentlich,öffentlich,515
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Ausland,öffentlich,öffentlich,464
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,öffentlich,9
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,öffentlich,3
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,privat,35
2023-09-01,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,privat,5
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,öffentlich,öffentlich,10483
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,öffentlich,öffentlich,3106
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,öffentlich,4087
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,öffentlich,1053
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,privat,1984
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,privat,251
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,öffentlich,öffentlich,15607
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Ausland,öffentlich,öffentlich,4460
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,öffentlich,2524
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,öffentlich,609
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,privat,1224
2023-09-01,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,privat,164
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,öffentlich,öffentlich,1356
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,öffentlich,öffentlich,206
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,öffentlich,2661
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,öffentlich,370
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,privat,4425
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,privat,622
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,öffentlich,öffentlich,1525
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,öffentlich,öffentlich,211
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,öffentlich,2280
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,öffentlich,273
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,privat,4809
2023-09-01,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,privat,826
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,11132
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,weiblich,Ausland,öffentlich,öffentlich,4206
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,weiblich,Schweiz,privat,privat,583
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,weiblich,Ausland,privat,privat,419
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,männlich,Schweiz,öffentlich,öffentlich,12054
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,männlich,Ausland,öffentlich,öffentlich,4472
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,männlich,Schweiz,privat,privat,592
2023-09-01,zh,2021,Primarstufe 1-2,Volksschule,männlich,Ausland,privat,privat,418
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,28
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,17
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,19
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,16
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,59
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,48
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,61
2023-09-01,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,47
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,33345
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,weiblich,Ausland,öffentlich,öffentlich,11626
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,weiblich,Schweiz,privat,privat,1332
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,weiblich,Ausland,privat,privat,991
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,männlich,Schweiz,öffentlich,öffentlich,34549
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,männlich,Ausland,öffentlich,öffentlich,11728
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,männlich,Schweiz,privat,privat,1572
2023-09-01,zh,2021,Primarstufe 3-8,Volksschule,männlich,Ausland,privat,privat,1196
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,105
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,97
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,153
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,97
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,227
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,163
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,469
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,295
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,privat,4
2023-09-01,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,privat,4
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,11479
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,weiblich,Ausland,öffentlich,öffentlich,3851
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,weiblich,Schweiz,privat,öffentlich,1
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,weiblich,Ausland,privat,öffentlich,1
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,weiblich,Schweiz,privat,privat,1169
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,weiblich,Ausland,privat,privat,525
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,männlich,Schweiz,öffentlich,öffentlich,12658
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,männlich,Ausland,öffentlich,öffentlich,4014
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,männlich,Schweiz,privat,öffentlich,6
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,männlich,Ausland,privat,öffentlich,5
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,männlich,Schweiz,privat,privat,1436
2023-09-01,zh,2021,Sekundarstufe I,Volksschule,männlich,Ausland,privat,privat,624
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,3537
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,590
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,weiblich,Schweiz,privat,privat,187
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,weiblich,Ausland,privat,privat,63
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,3093
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,männlich,Ausland,öffentlich,öffentlich,552
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,männlich,Schweiz,privat,privat,183
2023-09-01,zh,2021,Sekundarstufe I,Mittelschule,männlich,Ausland,privat,privat,63
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,66
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,36
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,156
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,66
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,privat,privat,4
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,privat,privat,1
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,117
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,70
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,289
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,181
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,privat,privat,6
2023-09-01,zh,2021,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,privat,privat,5
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,5275
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,804
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,weiblich,Schweiz,privat,privat,967
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,weiblich,Ausland,privat,privat,544
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,3924
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,männlich,Ausland,öffentlich,öffentlich,714
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,männlich,Schweiz,privat,privat,902
2023-09-01,zh,2021,Sekundarstufe II,Mittelschule,männlich,Ausland,privat,privat,578
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,24
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,22
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,37
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,10
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,54
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,24
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,38
2023-09-01,zh,2021,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,27
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,öffentlich,öffentlich,496
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,weiblich,Ausland,öffentlich,öffentlich,389
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,öffentlich,12
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,öffentlich,1
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,privat,88
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,privat,27
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,männlich,Schweiz,öffentlich,öffentlich,625
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,männlich,Ausland,öffentlich,öffentlich,478
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,öffentlich,7
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,öffentlich,7
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,privat,25
2023-09-01,zh,2021,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,privat,15
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,öffentlich,öffentlich,10493
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,öffentlich,öffentlich,3027
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,öffentlich,4288
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,öffentlich,991
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,privat,2029
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,privat,268
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,öffentlich,öffentlich,15705
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,männlich,Ausland,öffentlich,öffentlich,4600
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,öffentlich,2563
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,öffentlich,652
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,privat,1342
2023-09-01,zh,2021,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,privat,188
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,öffentlich,öffentlich,1438
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,öffentlich,öffentlich,240
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,öffentlich,2903
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,öffentlich,408
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,privat,4418
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,privat,685
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,öffentlich,öffentlich,1636
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,öffentlich,öffentlich,239
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,öffentlich,2438
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,öffentlich,309
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,privat,4426
2023-09-01,zh,2021,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,privat,838
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,11177
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,weiblich,Ausland,öffentlich,öffentlich,4327
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,weiblich,Schweiz,privat,privat,567
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,weiblich,Ausland,privat,privat,437
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,männlich,Schweiz,öffentlich,öffentlich,12029
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,männlich,Ausland,öffentlich,öffentlich,4597
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,männlich,Schweiz,privat,privat,567
2023-09-01,zh,2020,Primarstufe 1-2,Volksschule,männlich,Ausland,privat,privat,427
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,33
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,24
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,19
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,14
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,56
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,47
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,57
2023-09-01,zh,2020,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,40
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,weiblich,Schweiz,öffentlich,öffentlich,32706
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,weiblich,Ausland,öffentlich,öffentlich,11367
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,weiblich,Schweiz,privat,privat,1281
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,weiblich,Ausland,privat,privat,1044
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,männlich,Schweiz,öffentlich,öffentlich,34059
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,männlich,Ausland,öffentlich,öffentlich,11393
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,männlich,Schweiz,privat,privat,1516
2023-09-01,zh,2020,Primarstufe 3-8,Volksschule,männlich,Ausland,privat,privat,1226
2023-09-01,zh,2020,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,99
2023-09-01,zh,2020,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,78
2023-09-01,zh,2020,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,163
2023-09-01,zh,2020,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,91
